	id	cleaned_text_tfidf	tfidf_similarities
35438	1.33977E+18	trump biggest traitor us histori call putin russia attack america	0.999999999831419
82163	1.33994E+18	trump silenc russia treason	0.999999999831419
44792	1.33994E+18	trump silenc russia treason	0.999999999831419
44805	1.33981E+18	might trump gave russia key nation secur	0.999999999831419
6585	1.3399E+18	russia respons trump stay silent	0.999999999831419
96398	1.33994E+18	trump silenc russia treason	0.999999999831419
6555	1.33993E+18	hey guy think trump direct dhs intellig agenc cover russia attempt gain control u govern nation secur asset look bad retrospect	0.999999999831419
82149	1.33993E+18	hey guy think trump direct dhs intellig agenc cover russia attempt gain control u govern nation secur asset look bad retrospect	0.999999999831419
29597	1.33994E+18	trump silenc russia treason	0.999999999831419
92737	1.33994E+18	trump silenc russia treason	0.999999999831419
92676	1.33997E+18	trump air array grievanc twitter morn remain silent cybersecur breach blame russia	0.999999999831419
92671	1.33994E+18	trump silenc russia treason	0.999999999831419
1887	1.33994E+18	trump silenc russia treason	0.999999999831419
99931	1.33993E+18	hey guy think trump direct dhs intellig agenc cover russia attempt gain control u govern nation secur asset look bad retrospect	0.999999999831419
838	1.33994E+18	trump silenc russia treason	0.999999999831419
6491	1.33977E+18	trump biggest traitor us histori call putin russia attack america	0.999999999831419
29811	1.33994E+18	trump silenc russia treason	0.999999999831419
65394	1.33993E+18	hey guy think trump direct dhs intellig agenc cover russia attempt gain control u govern nation secur asset look bad retrospect	0.999999999831419
59958	1.33994E+18	trump silenc russia treason	0.999999999831419
44584	1.33994E+18	trump silenc russia treason	0.999999999831419
	id	cleaned_text_tfidf	tfidf_similarities
0	1.3193E+18	watch joe biden consol son chris hixon parkland wrestl coach kill shoot	0.0
66985	1.33965E+18	trump spent last four year call presid suppos upset jill biden call doctor	0.0
66983	1.33995E+18	watch vice presid receiv safe effect coronavirus vaccin	0.0
66982	1.33971E+18	trump mock journo twitter first amend fire fbi spi record phone call fox news offici without even bother get warrant cricket blue check first amend firefight	0.0
66981	1.33974E+18	stop count biden vote yet	0.0
66980	1.33996E+18	republican congress senat challeng elector colleg vote	0.0
66979	1.33996E+18	announc today big day told pass unremark upon like mani other anyth involv presid act alon behalf seem delay etern requir agenc act forget	0.0
66978	1.33996E+18	need emphas pfizer statement lack guidanc trump admin million dose sit warehous receiv shipment instruct addit dose	0.0
66977	1.33995E+18	secretari state governor georgia republican allow fulton counti go vital voter signatur verif process also allow republican watcher present verifi	0.0
66976	1.33962E+18	republican lose mind trump island unit state govern hack anyon want tell presid mayb know protect countri busi affect	0.0
66975	1.33996E+18	break big go pentagon halt biden transit defens brief via	0.0
66974	1.33975E+18	tire spineless republican ruin brand parti either fight countri get hell polit decid	0.0
66973	1.33995E+18	break suprem court rule lawsuit challeng trump administr plan exclud undocu immigr census prematur fight polici actual implement see right back court	0.0
66972	1.33995E+18	pentagon delay biden transit brief	0.0
66971	1.33994E+18	almost bipartisan covid packag last minut republican make demand never mention key negoti want block fed help economi biden reason deal	0.0
66970	1.33995E+18	peter navarro present immacul decept coordin effort stack elect trump pridefamili	0.0
66969	1.33991E+18	friday decemb obama biden administr corrupt us histori obamag	0.0
66968	1.33995E+18	whoa	0.0
66967	1.33992E+18	polit donat facebook twitter employe went democrat big tech ceo donat silicon valley singl greatest threat constitut republ	0.0
66966	1.33995E+18	love peopl lose mind cancel student debt think cool tax money bail american airlin general motor goldman sach	0.0
	id	cleaned_text_tfidf	tfidf_similarities
86338	1.33994E+18	joe biden threaten withhold aid u unless fire prosecutor investig son	0.999999999928094
78078	1.33992E+18	new evid implic joe biden busi deal	0.999999999928094
31260	1.33994E+18	joe biden threaten withhold aid u unless fire prosecutor investig son	0.999999999928094
16075	1.33988E+18	decemb joe biden clown secur threat nation disgrac republ	0.999999999928094
48604	1.33993E+18	hunter smartest man joe biden know deeper troubl thought	0.999999999928094
31237	1.33996E+18	joe biden nation secur threat	0.999999999928094
48621	1.33995E+18	joe biden time	0.999999999928094
31189	1.33994E+18	joe biden oann	0.999999999928094
78023	1.33992E+18	new evid implic joe biden busi deal	0.999999999928094
48665	1.33965E+18	cnn senat loeffler refus nine time acknowledg joe biden press confer	0.999999999928094
10881	1.3398E+18	protect children joe biden	0.999999999928094
78044	1.33991E+18	tout cathol faith sad even pronounc book psalm advoc abort jesus said know work cnn tout joe biden devout christian faith ignor support abort	0.999999999928094
1491	1.33993E+18	hunter smartest man joe biden know deeper troubl thought	0.999999999928094
48704	1.33993E+18	hunter smartest man joe biden know deeper troubl thought	0.999999999928094
26089	1.33994E+18	joe biden threaten withhold aid u unless fire prosecutor investig son	0.999999999928094
78081	1.33992E+18	new evid implic joe biden busi deal	0.999999999928094
65525	1.33992E+18	new evid implic joe biden busi deal	0.999999999928094
31081	1.33975E+18	cnn joe biden man devout christian faith support kill babi abort	0.999999999928094
78120	1.33994E+18	joe biden threaten withhold aid u unless fire prosecutor investig son	0.999999999928094
65491	1.33993E+18	hunter smartest man joe biden know deeper troubl thought	0.999999999928094
	id	cleaned_text_tfidf	tfidf_similarities
20573	1.33901E+18	immigr china frontlin fight trump understand danger countri china complet takeov america via puppet biden rue day fight freedom cud fight call legisl ralli	0.999999999999156
45151	1.33996E+18	steve cort trump appoint special counsel investig biden cartel news	0.999999999999156
54527	1.33974E+18	coronavirus announc miracl heal without vaccin medicin rabi akhir ah ad accord offici time mecca mother town imam nasser mohammad biden trump covid phizer	0.999999999999156
92224	1.33996E+18	steve cort trump appoint special counsel investig biden cartel news	0.999999999999156
51958	1.33996E+18	steve cort trump appoint special counsel investig biden cartel news	0.999999999999156
72557	1.33996E+18	steve cort trump appoint special counsel investig biden cartel news	0.999999999999156
85876	1.33987E+18	nation secur trump must testifi congress fbi biden take nationalsecur russianhack	0.999999999999156
1439	1.33995E+18	trump support biden final agre someth	0.999999999999156
33468	1.33996E+18	steve cort trump appoint special counsel investig biden cartel news	0.999999999999156
81353	1.33997E+18	trump silent repris hack may fall biden	0.999999999999156
94784	1.33934E+18	biden approv rate alreadi great start trump ever got disapprov	0.999999999999156
44806	1.33996E+18	steve cort trump appoint special counsel investig biden cartel news	0.999999999999156
70198	1.33996E+18	steve cort trump appoint special counsel investig biden cartel news	0.999999999999156
7396	1.33939E+18	ever surrend trump landslid biden lost	0.999999999999156
43381	1.33995E+18	icymi side side way media talk biden appointe vs thing focus trump	0.999999999999156
73360	1.33996E+18	steve cort trump appoint special counsel investig biden cartel news	0.999999999999156
31936	1.33985E+18	biden trump sovereignti militari grade	0.999999999999156
29506	1.33994E+18	trump ever done anyth counter strike possibl upset good friend putin sure thrill leav anoth mess biden clean put countri risk seem care	0.999999999999156
50653	1.33996E+18	steve cort trump appoint special counsel investig biden cartel news	0.999999999999156
30923	1.33996E+18	steve cort trump appoint special counsel investig biden cartel news	0.999999999999156
	id	cleaned_text_tfidf	tfidf_similarities
0	1.3193E+18	watch joe biden consol son chris hixon parkland wrestl coach kill shoot	0.0
66985	1.33965E+18	trump spent last four year call presid suppos upset jill biden call doctor	0.0
66983	1.33995E+18	watch vice presid receiv safe effect coronavirus vaccin	0.0
66982	1.33971E+18	trump mock journo twitter first amend fire fbi spi record phone call fox news offici without even bother get warrant cricket blue check first amend firefight	0.0
66981	1.33974E+18	stop count biden vote yet	0.0
66980	1.33996E+18	republican congress senat challeng elector colleg vote	0.0
66979	1.33996E+18	announc today big day told pass unremark upon like mani other anyth involv presid act alon behalf seem delay etern requir agenc act forget	0.0
66978	1.33996E+18	need emphas pfizer statement lack guidanc trump admin million dose sit warehous receiv shipment instruct addit dose	0.0
66977	1.33995E+18	secretari state governor georgia republican allow fulton counti go vital voter signatur verif process also allow republican watcher present verifi	0.0
66976	1.33962E+18	republican lose mind trump island unit state govern hack anyon want tell presid mayb know protect countri busi affect	0.0
66975	1.33996E+18	break big go pentagon halt biden transit defens brief via	0.0
66974	1.33975E+18	tire spineless republican ruin brand parti either fight countri get hell polit decid	0.0
66973	1.33995E+18	break suprem court rule lawsuit challeng trump administr plan exclud undocu immigr census prematur fight polici actual implement see right back court	0.0
66972	1.33995E+18	pentagon delay biden transit brief	0.0
66971	1.33994E+18	almost bipartisan covid packag last minut republican make demand never mention key negoti want block fed help economi biden reason deal	0.0
66970	1.33995E+18	peter navarro present immacul decept coordin effort stack elect trump pridefamili	0.0
66969	1.33991E+18	friday decemb obama biden administr corrupt us histori obamag	0.0
66968	1.33995E+18	whoa	0.0
66967	1.33992E+18	polit donat facebook twitter employe went democrat big tech ceo donat silicon valley singl greatest threat constitut republ	0.0
66966	1.33995E+18	love peopl lose mind cancel student debt think cool tax money bail american airlin general motor goldman sach	0.0
	id	cleaned_text_tfidf	tfidf_similarities
0	1.3193E+18	watch joe biden consol son chris hixon parkland wrestl coach kill shoot	0.0
66985	1.33965E+18	trump spent last four year call presid suppos upset jill biden call doctor	0.0
66983	1.33995E+18	watch vice presid receiv safe effect coronavirus vaccin	0.0
66982	1.33971E+18	trump mock journo twitter first amend fire fbi spi record phone call fox news offici without even bother get warrant cricket blue check first amend firefight	0.0
66981	1.33974E+18	stop count biden vote yet	0.0
66980	1.33996E+18	republican congress senat challeng elector colleg vote	0.0
66979	1.33996E+18	announc today big day told pass unremark upon like mani other anyth involv presid act alon behalf seem delay etern requir agenc act forget	0.0
66978	1.33996E+18	need emphas pfizer statement lack guidanc trump admin million dose sit warehous receiv shipment instruct addit dose	0.0
66977	1.33995E+18	secretari state governor georgia republican allow fulton counti go vital voter signatur verif process also allow republican watcher present verifi	0.0
66976	1.33962E+18	republican lose mind trump island unit state govern hack anyon want tell presid mayb know protect countri busi affect	0.0
66975	1.33996E+18	break big go pentagon halt biden transit defens brief via	0.0
66974	1.33975E+18	tire spineless republican ruin brand parti either fight countri get hell polit decid	0.0
66973	1.33995E+18	break suprem court rule lawsuit challeng trump administr plan exclud undocu immigr census prematur fight polici actual implement see right back court	0.0
66972	1.33995E+18	pentagon delay biden transit brief	0.0
66971	1.33994E+18	almost bipartisan covid packag last minut republican make demand never mention key negoti want block fed help economi biden reason deal	0.0
66970	1.33995E+18	peter navarro present immacul decept coordin effort stack elect trump pridefamili	0.0
66969	1.33991E+18	friday decemb obama biden administr corrupt us histori obamag	0.0
66968	1.33995E+18	whoa	0.0
66967	1.33992E+18	polit donat facebook twitter employe went democrat big tech ceo donat silicon valley singl greatest threat constitut republ	0.0
66966	1.33995E+18	love peopl lose mind cancel student debt think cool tax money bail american airlin general motor goldman sach	0.0
	id	cleaned_text_tfidf	tfidf_similarities
0	1.3193E+18	watch joe biden consol son chris hixon parkland wrestl coach kill shoot	0.0
66985	1.33965E+18	trump spent last four year call presid suppos upset jill biden call doctor	0.0
66983	1.33995E+18	watch vice presid receiv safe effect coronavirus vaccin	0.0
66982	1.33971E+18	trump mock journo twitter first amend fire fbi spi record phone call fox news offici without even bother get warrant cricket blue check first amend firefight	0.0
66981	1.33974E+18	stop count biden vote yet	0.0
66980	1.33996E+18	republican congress senat challeng elector colleg vote	0.0
66979	1.33996E+18	announc today big day told pass unremark upon like mani other anyth involv presid act alon behalf seem delay etern requir agenc act forget	0.0
66978	1.33996E+18	need emphas pfizer statement lack guidanc trump admin million dose sit warehous receiv shipment instruct addit dose	0.0
66977	1.33995E+18	secretari state governor georgia republican allow fulton counti go vital voter signatur verif process also allow republican watcher present verifi	0.0
66976	1.33962E+18	republican lose mind trump island unit state govern hack anyon want tell presid mayb know protect countri busi affect	0.0
66975	1.33996E+18	break big go pentagon halt biden transit defens brief via	0.0
66974	1.33975E+18	tire spineless republican ruin brand parti either fight countri get hell polit decid	0.0
66973	1.33995E+18	break suprem court rule lawsuit challeng trump administr plan exclud undocu immigr census prematur fight polici actual implement see right back court	0.0
66972	1.33995E+18	pentagon delay biden transit brief	0.0
66971	1.33994E+18	almost bipartisan covid packag last minut republican make demand never mention key negoti want block fed help economi biden reason deal	0.0
66970	1.33995E+18	peter navarro present immacul decept coordin effort stack elect trump pridefamili	0.0
66969	1.33991E+18	friday decemb obama biden administr corrupt us histori obamag	0.0
66968	1.33995E+18	whoa	0.0
66967	1.33992E+18	polit donat facebook twitter employe went democrat big tech ceo donat silicon valley singl greatest threat constitut republ	0.0
66966	1.33995E+18	love peopl lose mind cancel student debt think cool tax money bail american airlin general motor goldman sach	0.0
	id	cleaned_text_tfidf	tfidf_similarities
0	1.3193E+18	watch joe biden consol son chris hixon parkland wrestl coach kill shoot	0.0
66985	1.33965E+18	trump spent last four year call presid suppos upset jill biden call doctor	0.0
66983	1.33995E+18	watch vice presid receiv safe effect coronavirus vaccin	0.0
66982	1.33971E+18	trump mock journo twitter first amend fire fbi spi record phone call fox news offici without even bother get warrant cricket blue check first amend firefight	0.0
66981	1.33974E+18	stop count biden vote yet	0.0
66980	1.33996E+18	republican congress senat challeng elector colleg vote	0.0
66979	1.33996E+18	announc today big day told pass unremark upon like mani other anyth involv presid act alon behalf seem delay etern requir agenc act forget	0.0
66978	1.33996E+18	need emphas pfizer statement lack guidanc trump admin million dose sit warehous receiv shipment instruct addit dose	0.0
66977	1.33995E+18	secretari state governor georgia republican allow fulton counti go vital voter signatur verif process also allow republican watcher present verifi	0.0
66976	1.33962E+18	republican lose mind trump island unit state govern hack anyon want tell presid mayb know protect countri busi affect	0.0
66975	1.33996E+18	break big go pentagon halt biden transit defens brief via	0.0
66974	1.33975E+18	tire spineless republican ruin brand parti either fight countri get hell polit decid	0.0
66973	1.33995E+18	break suprem court rule lawsuit challeng trump administr plan exclud undocu immigr census prematur fight polici actual implement see right back court	0.0
66972	1.33995E+18	pentagon delay biden transit brief	0.0
66971	1.33994E+18	almost bipartisan covid packag last minut republican make demand never mention key negoti want block fed help economi biden reason deal	0.0
66970	1.33995E+18	peter navarro present immacul decept coordin effort stack elect trump pridefamili	0.0
66969	1.33991E+18	friday decemb obama biden administr corrupt us histori obamag	0.0
66968	1.33995E+18	whoa	0.0
66967	1.33992E+18	polit donat facebook twitter employe went democrat big tech ceo donat silicon valley singl greatest threat constitut republ	0.0
66966	1.33995E+18	love peopl lose mind cancel student debt think cool tax money bail american airlin general motor goldman sach	0.0
	id	cleaned_text_tfidf	tfidf_similarities
0	1.3193E+18	watch joe biden consol son chris hixon parkland wrestl coach kill shoot	0.0
66985	1.33965E+18	trump spent last four year call presid suppos upset jill biden call doctor	0.0
66983	1.33995E+18	watch vice presid receiv safe effect coronavirus vaccin	0.0
66982	1.33971E+18	trump mock journo twitter first amend fire fbi spi record phone call fox news offici without even bother get warrant cricket blue check first amend firefight	0.0
66981	1.33974E+18	stop count biden vote yet	0.0
66980	1.33996E+18	republican congress senat challeng elector colleg vote	0.0
66979	1.33996E+18	announc today big day told pass unremark upon like mani other anyth involv presid act alon behalf seem delay etern requir agenc act forget	0.0
66978	1.33996E+18	need emphas pfizer statement lack guidanc trump admin million dose sit warehous receiv shipment instruct addit dose	0.0
66977	1.33995E+18	secretari state governor georgia republican allow fulton counti go vital voter signatur verif process also allow republican watcher present verifi	0.0
66976	1.33962E+18	republican lose mind trump island unit state govern hack anyon want tell presid mayb know protect countri busi affect	0.0
66975	1.33996E+18	break big go pentagon halt biden transit defens brief via	0.0
66974	1.33975E+18	tire spineless republican ruin brand parti either fight countri get hell polit decid	0.0
66973	1.33995E+18	break suprem court rule lawsuit challeng trump administr plan exclud undocu immigr census prematur fight polici actual implement see right back court	0.0
66972	1.33995E+18	pentagon delay biden transit brief	0.0
66971	1.33994E+18	almost bipartisan covid packag last minut republican make demand never mention key negoti want block fed help economi biden reason deal	0.0
66970	1.33995E+18	peter navarro present immacul decept coordin effort stack elect trump pridefamili	0.0
66969	1.33991E+18	friday decemb obama biden administr corrupt us histori obamag	0.0
66968	1.33995E+18	whoa	0.0
66967	1.33992E+18	polit donat facebook twitter employe went democrat big tech ceo donat silicon valley singl greatest threat constitut republ	0.0
66966	1.33995E+18	love peopl lose mind cancel student debt think cool tax money bail american airlin general motor goldman sach	0.0
	id	cleaned_text_tfidf	tfidf_similarities
0	1.3193E+18	watch joe biden consol son chris hixon parkland wrestl coach kill shoot	0.0
66985	1.33965E+18	trump spent last four year call presid suppos upset jill biden call doctor	0.0
66983	1.33995E+18	watch vice presid receiv safe effect coronavirus vaccin	0.0
66982	1.33971E+18	trump mock journo twitter first amend fire fbi spi record phone call fox news offici without even bother get warrant cricket blue check first amend firefight	0.0
66981	1.33974E+18	stop count biden vote yet	0.0
66980	1.33996E+18	republican congress senat challeng elector colleg vote	0.0
66979	1.33996E+18	announc today big day told pass unremark upon like mani other anyth involv presid act alon behalf seem delay etern requir agenc act forget	0.0
66978	1.33996E+18	need emphas pfizer statement lack guidanc trump admin million dose sit warehous receiv shipment instruct addit dose	0.0
66977	1.33995E+18	secretari state governor georgia republican allow fulton counti go vital voter signatur verif process also allow republican watcher present verifi	0.0
66976	1.33962E+18	republican lose mind trump island unit state govern hack anyon want tell presid mayb know protect countri busi affect	0.0
66975	1.33996E+18	break big go pentagon halt biden transit defens brief via	0.0
66974	1.33975E+18	tire spineless republican ruin brand parti either fight countri get hell polit decid	0.0
66973	1.33995E+18	break suprem court rule lawsuit challeng trump administr plan exclud undocu immigr census prematur fight polici actual implement see right back court	0.0
66972	1.33995E+18	pentagon delay biden transit brief	0.0
66971	1.33994E+18	almost bipartisan covid packag last minut republican make demand never mention key negoti want block fed help economi biden reason deal	0.0
66970	1.33995E+18	peter navarro present immacul decept coordin effort stack elect trump pridefamili	0.0
66969	1.33991E+18	friday decemb obama biden administr corrupt us histori obamag	0.0
66968	1.33995E+18	whoa	0.0
66967	1.33992E+18	polit donat facebook twitter employe went democrat big tech ceo donat silicon valley singl greatest threat constitut republ	0.0
66966	1.33995E+18	love peopl lose mind cancel student debt think cool tax money bail american airlin general motor goldman sach	0.0
